"filename", "language", "Markdown", "YAML", "MS SQL", "PostCSS", "TypeScript", "JavaScript", "HTML", "XML", "pip requirements", "Ini", "JSON", "Python", "comment", "blank", "total"
"c:\Users\YASH\TradeWise\backend\app\models\subscription.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 4, 7, 53
"c:\Users\YASH\TradeWise\backend\app\models\subscription_plan.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 3, 7, 46
"c:\Users\YASH\TradeWise\backend\app\models\trade.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 4, 10, 73
"c:\Users\YASH\TradeWise\backend\app\models\user.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 4, 6, 57
"c:\Users\YASH\TradeWise\backend\app\routes\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"c:\Users\YASH\TradeWise\backend\app\routes\account_settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 22, 32, 167
"c:\Users\YASH\TradeWise\backend\app\routes\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 935, 109, 156, 1200
"c:\Users\YASH\TradeWise\backend\app\routes\analytics.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 274, 16, 45, 335
"c:\Users\YASH\TradeWise\backend\app\routes\auth.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 304, 42, 91, 437
"c:\Users\YASH\TradeWise\backend\app\routes\comments.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 12, 30, 135
"c:\Users\YASH\TradeWise\backend\app\routes\earnings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 248, 29, 54, 331
"c:\Users\YASH\TradeWise\backend\app\routes\exports.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 11, 27, 195
"c:\Users\YASH\TradeWise\backend\app\routes\kyc.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 193, 20, 47, 260
"c:\Users\YASH\TradeWise\backend\app\routes\learner_comments.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 12, 33, 155
"c:\Users\YASH\TradeWise\backend\app\routes\learner_credits.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 15, 31, 212
"c:\Users\YASH\TradeWise\backend\app\routes\learner_feed.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 378, 25, 81, 484
"c:\Users\YASH\TradeWise\backend\app\routes\learner_flags.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 9, 17, 87
"c:\Users\YASH\TradeWise\backend\app\routes\learner_notifications.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 17, 40, 176
